country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,2007,43.83,31889923,974.58
Albania,Europe,2007,76.42,3600523,5937.03
Algeria,Africa,2007,72.30,33333216,6223.37
Angola,Africa,2007,42.73,12420476,4797.23
Argentina,Americas,2007,75.32,40301927,12779.38
Australia,Oceania,2007,81.23,20434176,34435.37
Austria,Europe,2007,79.83,8199783,36126.49
Bangladesh,Asia,2007,64.06,150448339,1391.25
Belgium,Europe,2007,79.44,10392226,33692.61
Bolivia,Americas,2007,65.55,9119152,3822.14
Brazil,Americas,2007,72.39,190010647,9065.80
Bulgaria,Europe,2007,73.00,7322858,10680.79
Cambodia,Asia,2007,59.72,14131858,1713.78
Canada,Americas,2007,80.65,33390141,36319.24
Chile,Americas,2007,78.55,16284741,13171.64
China,Asia,2007,72.96,1318683096,4959.11
Colombia,Americas,2007,72.89,44227550,7006.58
Cuba,Americas,2007,78.27,11416987,8948.10
Czech Republic,Europe,2007,76.49,10228744,22833.31
Denmark,Europe,2007,78.33,5468120,35278.42
Egypt,Africa,2007,71.34,80264543,5680.36
Ethiopia,Africa,2007,52.95,76511887,690.81
Finland,Europe,2007,79.31,5238460,33207.08
France,Europe,2007,80.66,61083916,30470.02
Germany,Europe,2007,79.41,82400996,32170.37
Ghana,Africa,2007,60.02,22873338,1327.61
Greece,Europe,2007,79.48,10706290,27538.41
India,Asia,2007,64.70,1110396331,2452.21
Indonesia,Asia,2007,70.65,223547000,3540.65
Iran,Asia,2007,70.96,69453570,11605.71
Iraq,Asia,2007,59.55,27499638,4471.06
Italy,Europe,2007,80.55,58147733,28569.72
Japan,Asia,2007,82.60,127467972,31656.07
Kenya,Africa,2007,54.11,35610177,1463.25
Malaysia,Asia,2007,74.24,24821286,12451.65
Mexico,Americas,2007,76.19,108700891,11977.57
Morocco,Africa,2007,71.16,33757175,3820.17
Mozambique,Africa,2007,42.08,19951656,823.69
Netherlands,Europe,2007,79.76,16570613,36797.93
Nigeria,Africa,2007,46.86,135031164,2013.98
Norway,Europe,2007,80.20,4627926,49357.19
Pakistan,Asia,2007,65.48,169270617,2605.95
Peru,Americas,2007,71.42,28674757,7408.91
Philippines,Asia,2007,71.69,91077287,3190.48
Poland,Europe,2007,75.56,38518241,15389.92
Portugal,Europe,2007,78.10,10642836,20509.65
Romania,Europe,2007,72.48,22276056,10808.48
Saudi Arabia,Asia,2007,72.79,27601038,21654.83
South Africa,Africa,2007,49.34,43997828,9269.66
Spain,Europe,2007,80.94,40448191,28821.06
Sudan,Africa,2007,58.56,42292929,2602.39
Sweden,Europe,2007,80.88,9031088,33859.75
Switzerland,Europe,2007,81.70,7554661,37506.42
Tanzania,Africa,2007,52.52,38139640,1107.48
Thailand,Asia,2007,70.62,65068149,7458.40
Turkey,Europe,2007,71.78,71158647,8458.28
Uganda,Africa,2007,51.54,29170398,1056.38
United Kingdom,Europe,2007,79.43,60776238,33203.26
United States,Americas,2007,78.24,301139947,42951.65
Venezuela,Americas,2007,73.75,26084662,11415.81
Vietnam,Asia,2007,74.25,85262356,2441.58
Yemen,Asia,2007,62.70,22211743,2280.77
Zimbabwe,Africa,2007,43.49,12311143,469.71
